Brand,Title,Price,Rating,maximum_display_resolution,Memory,Screen,Model
Apple,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",$317.79,4.8 out of 5 stars,2360 x 1640 Pixels,64 GB,10.9 Inches,iPad
Apple,"Apple iPad (9th generation): with A13 Bionic chip, 10.2-inch Retina display, 64GB, Wi-Fi, 12MP front/8MP back camera, Touch ID, all-day battery life – Silver",$246.51,4.8 out of 5 stars,2160x1620 Pixels,64 GB,10.2 Inches,iPad
Apple,"Apple iPad (10.2-Inch, Wi-Fi, 32GB) - Space Gray (Renewed)",$152.99,4.4 out of 5 stars,2048 x 1536,32 GB,10.2 Inches,Apple iPad
Apple,"Apple iPad 9.7in with WiFi, 32GB 2017 Newest Model- Gold (Gold)(Renewed)",$126.00,4.5 out of 5 stars,2048x1536,32 GB,9.7 Inches,iPad
Apple,"2021 Apple iPad (10.2-inch, Wi-Fi, 64GB) - Space Gray (Renewed)",$233.99,4.5 out of 5 stars,2160x1620 Pixels,64 GB,10.2 Inches,iPad 9th Gen
Apple,"Apple iPad Air 2 9.7-Inch, 32GB Tablet (Space Gray) (Renewed)",$115.00,4.4 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad Air 2
Apple,"Apple iPad mini (6th generation): with A15 Bionic chip, 8.3-inch Liquid Retina display, 64GB, Wi-Fi 6, 12MP front/12MP back camera, Touch ID, all-day battery life – Space Gray",$349.59,4.8 out of 5 stars,2266 x 1488 Pixels,64 GB,8.3 Inches,iPad mini
Apple,"2022 Apple iPad (10.9-inch, Wi-Fi, 64GB) - Silver (Renewed)",$309.00,4.6 out of 5 stars,2360 x 1640 Pixels,64 GB,10.9 Inches,iPad
Apple,"Apple iPad Air 2, 32 GB, Silver, (Renewed)",$115.00,4.4 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad Air 2
Apple,"Apple iPad Air 13-inch (M2): Liquid Retina display, 256GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E + 5G Cellular with eSIM, Touch ID, All-Day Battery Life — Starlight","$1,012.92",4.6 out of 5 stars,2732-by-2048-pixel resolution at 264 ppi,256 GB,13 Inches,iPad Air
Apple,"Apple iPad Pro 13-Inch (M4): Ultra Retina XDR display, 256GB, Landscape 12MP Front Camera/12MP Back Camera, LiDAR Scanner, Wi-Fi 6E, Face ID, All-Day Battery Life — Silver","$1,239.92",4.6 out of 5 stars,2752-by-2064-pixel resolution at 264 ppi,256 GB,13 Inches,iPad Pro
Apple,"Apple iPad Mini 4, 128GB, Space Gray - WiFi (Renewed)",$135.00,4.3 out of 5 stars,2048 x 1536,128 GB,7.9 Inches,iPad Mini 4
Apple,"2018 Apple iPad (9.7-inch, Wi-Fi, 128GB) - Silver (Renewed)",$159.00,4.3 out of 5 stars,2048 x 1536,128 GB,9.7 Inches,iPad
Apple,"Apple iPad Air 2 MH322LL/A (128GB, Wi-Fi + Cellular, Silver) 2014 Model (Renewed)",$139.00,4.1 out of 5 stars,2048x1536,128 GB,9.7 Inches,iPad Air 2
Apple,Apple Renewed iPad Air 2 - 64GB - Gold (Renewed),$129.00,4.2 out of 5 stars,2046 x 1536 Pixels,64 GB,9.7 Inches,IPad Air 2
Apple,"Apple 2020 iPad Air (10.9-inch, Wi-Fi, 64GB) - Space Gray (4th Generation)",$434.51,4.8 out of 5 stars,2360 x 1640 Pixels,64 GB,10.9 Inches,iPad Air
Apple,"Apple iPad mini 7.9 inches (Early 2019 ) 256GB, WiFi Only - Space Gray (Renewed)",$279.00,4.5 out of 5 stars,2048 x 1536,256 GB,7.9 Inches,iPad Mini
N/A,"Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Ocean",$115.80,4.5 out of 5 stars,N/A,N/A,N/A,N/A
N/A,"Amazon Fire HD 8 tablet, 8” HD Display, 64GB, 30% faster processor, designed for portable entertainment, (2022 release), Denim",$96.59,4.4 out of 5 stars,N/A,N/A,N/A,N/A
SAMSUNG,"SAMSUNG Galaxy Tab A9+ Plus 11” 128GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Graphite",$205.52,4.6 out of 5 stars,1920 X 1200 (WUXGA) Pixels,128 GB,11 Inches,A9+
Apple,"Apple iPad Air 11-inch (M2): Liquid Retina display, 128GB, Landscape 12MP Front Camera/12MP Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Blue",N/A,4.7 out of 5 stars,2360-by-1640 pixel resolution at 264 ppi,128 GB,11 Inches,iPad Air
Apple,Apple iPad (2018 Model) with Wi-Fi only 32GB Apple 9.7in iPad - Space Gray (Renewed),$122.76,4.5 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad
Apple,"Apple iPad Air (5th generation): with M1 chip, 10.9-inch Liquid Retina display, 256GB, Wi-Fi 6, 12MP front/12MP back camera, Touch ID, all-day battery life – Purple",N/A,4.8 out of 5 stars,2360 x 1640 Pixels,256 GB,10.9 Inches,iPad Air
Apple,"2018 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Gold (Renewed)",$129.00,4.5 out of 5 stars,2048 x 1536,32 GB,9.7 Inches,iPad
Apple,"2018 Apple iPad 6th Gen (9.7- inch, Wi-Fi, 128GB)- Space gray (Renewed)",$155.00,4.5 out of 5 stars,2048 x 1536,128 GB,9.7 Inches,iPad 6th Generation
